title,year,authors,publication_link,author_links,page_number
Assessing the implementation of Santiago Principles by Sovereign Wealth Funds in the ASEAN Community,2024,"Assessing the implementation of Santiago Principles by Sovereign Wealth Funds in the ASEAN CommunityRwakigumba, Guney",https://pureportal.coventry.ac.uk/en/publications/assessing-the-implementation-of-santiago-principles-by-sovereign-,,0
Beyond Profit: The Humanisation of Economics Through the Theory of Equitable Optimality,2024,Beyond Profit: The Humanisation of Economics Through the Theory of Equitable OptimalityAlamad,https://pureportal.coventry.ac.uk/en/publications/beyond-profit-the-humanisation-of-economics-through-the-theory-of,,0
Catalysing Environmental Action: a Governance Framework for Enhancing Individual Participation in Sub-Saharan Africa’s Plastic Circular Economy,2024,"Catalysing Environmental Action: a Governance Framework for Enhancing Individual Participation in Sub-Saharan Africa’s Plastic Circular EconomyAmbituuni, Ajala",https://pureportal.coventry.ac.uk/en/publications/catalysing-environmental-action-a-governance-framework-for-enhanc,,0
CEO succession origin and annual reports readability,2024,,https://pureportal.coventry.ac.uk/en/publications/ceo-succession-origin-and-annual-reports-readability,,0
Contextualised accountant stereotypes: understanding their social construction and reconstruction in Chinese society,2024,"Contextualised accountant stereotypes: understanding their social construction and reconstruction in Chinese societyWang, Y. & Chen",https://pureportal.coventry.ac.uk/en/publications/contextualised-accountant-stereotypes-understanding-their-social-,,0
Corporate Financial Hedging and the Cost of Equity Capital,2024,"Corporate Financial Hedging and the Cost of Equity CapitalAhmed, H. B. & Guney",https://pureportal.coventry.ac.uk/en/publications/corporate-financial-hedging-and-the-cost-of-equity-capital-2,,0
Corporate governance and cost of equity: the moderating role of ownership concentration levels,2024,"Corporate governance and cost of equity: the moderating role of ownership concentration levelsHashmi, M. A., Istaqlal",https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-cost-of-equity-the-moderating-role-of-ow,,0
"Diffusion theory, economic consequences, and adoption of international standards on auditing around the world",2024,,https://pureportal.coventry.ac.uk/en/publications/diffusion-theory-economic-consequences-and-adoption-of-internatio,,0
Digitally enabled business models for a circular plastic economy in Africa,2024,,https://pureportal.coventry.ac.uk/en/publications/digitally-enabled-business-models-for-a-circular-plastic-economy-,,0
Does board–CEO age similarity affect earnings management? An empirical analysis from M&A contexts,2024,"Does board–CEO age similarity affect earnings management? An empirical analysis from M&A contextsNguyen, Alhababsah",https://pureportal.coventry.ac.uk/en/publications/does-boardceo-age-similarity-affect-earnings-management-an-empiri,,0
Does Digital Orientation Enhance Firm Performance?,2024,"Does Digital Orientation Enhance Firm Performance?Brahmana, R. K. & Kontesa",https://pureportal.coventry.ac.uk/en/publications/does-digital-orientation-enhance-firm-performance,,0
Does digital transformation matter for international diversification? The role of product market competition,2024,"Does digital transformation matter for international diversification? The role of product market competitionBrahmana, R. K., Kontesa",https://pureportal.coventry.ac.uk/en/publications/does-digital-transformation-matter-for-international-diversificat,,0
Does information seeking moderate the relationship between financial loan inclusion and Fintech P2P lending?,2024,,https://pureportal.coventry.ac.uk/en/publications/does-information-seeking-moderate-the-relationship-between-financ,,0
Does product market competition affect corporate waste management? International evidence,2024,,https://pureportal.coventry.ac.uk/en/publications/does-product-market-competition-affect-corporate-waste-management,,0
Does R&D investment drive employment growth? Empirical evidence at industry level from Japan,2024,,https://pureportal.coventry.ac.uk/en/publications/does-rampd-investment-drive-employment-growth-empirical-evidence-,,0
Does sharia-compliant debt financing reduce stock price crash risk?,2024,"Does sharia-compliant debt financing reduce stock price crash risk?Brahmana, R. K. & Kontesa",https://pureportal.coventry.ac.uk/en/publications/does-sharia-compliant-debt-financing-reduce-stock-price-crash-ris,,0
Does the CEO effect differ in times of crisis? Evidence from US and China during the global financial crisis,2024,,https://pureportal.coventry.ac.uk/en/publications/does-the-ceo-effect-differ-in-times-of-crisis-evidence-from-us-an,,0
EDITORIAL: Participatory corporate governance for sustainability and accountability,2024,EDITORIAL: Participatory corporate governance for sustainability and accountabilityAlsaid,https://pureportal.coventry.ac.uk/en/publications/editorial-participatory-corporate-governance-for-sustainability-a,,0
Embedding stakeholder engagement in sustainability reporting: A 6-step cycle,2024,"Embedding stakeholder engagement in sustainability reporting: A 6-step cycleTiong, P. N. C.",https://pureportal.coventry.ac.uk/en/publications/embedding-stakeholder-engagement-in-sustainability-reporting-a-6-,,0
"Entrepreneurship and innovation in Nigerian universities: Trends, challenges and opportunities",2024,"Entrepreneurship and innovation in Nigerian universities: Trends, challenges and opportunitiesOyinlola",https://pureportal.coventry.ac.uk/en/publications/entrepreneurship-and-innovation-in-nigerian-universities-trends-c,,0
Environmental and social accountability in emerging economies: strategic pressures from and responses to vulnerable local communities,2024,"Environmental and social accountability in emerging economies: strategic pressures from and responses to vulnerable local communitiesNoah, A. O., Adhikari",https://pureportal.coventry.ac.uk/en/publications/environmental-and-social-accountability-in-emerging-economies-str,,0
ESG disclosure and financial performance of multinational enterprises: The moderating effect of board standing committees,2024,,https://pureportal.coventry.ac.uk/en/publications/esg-disclosure-and-financial-performance-of-multinational-enterpr,,0
ESG performance and financial distress during COVID-19: the moderating effects of innovation and capital intensity,2024,"ESG performance and financial distress during COVID-19: the moderating effects of innovation and capital intensityBinesh, E-Vahdati",https://pureportal.coventry.ac.uk/en/publications/esg-performance-and-financial-distress-during-covid-19-the-modera,,0
Evaluating Drivers of Fintech Adoption in the Netherlands,2024,,https://pureportal.coventry.ac.uk/en/publications/evaluating-drivers-of-fintech-adoption-in-the-netherlands,,0
Exploring the Efficacy of Ecolabels as a Marketing Strategy: Insights from the Emerging Bioplastic Packaging Market,2024,,https://pureportal.coventry.ac.uk/en/publications/exploring-the-efficacy-of-ecolabels-as-a-marketing-strategy-insig,,0
"External arms embargoes and their implications for government expenditure, democracy and internal conflict",2024,"External arms embargoes and their implications for government expenditure, democracy and internal conflictDizaji, S. F. & Murshed",https://pureportal.coventry.ac.uk/en/publications/external-arms-embargoes-and-their-implications-for-government-exp,,1
Female political empowerment and green finance,2024,,https://pureportal.coventry.ac.uk/en/publications/female-political-empowerment-and-green-finance,,1
Fiscal Consolidation and Firm Growth in Developing Countries: Evidence from Firm-level Data,2024,,https://pureportal.coventry.ac.uk/en/publications/fiscal-consolidation-and-firm-growth-in-developing-countries-evid,,1
Fostering trust and overcoming psychological resistance towards cryptocurrencies and cryptoassets,2024,,https://pureportal.coventry.ac.uk/en/publications/fostering-trust-and-overcoming-psychological-resistance-towards-c,,1
Government Ownership and the Public Information Content of Insider Trading: International Evidence,2024,"Government Ownership and the Public Information Content of Insider Trading: International EvidenceHossain, Pham",https://pureportal.coventry.ac.uk/en/publications/government-ownership-and-the-public-information-content-of-inside,,1
